item_description,avg_price_per_bottle
HA MIDLETON SILENT DISTILLERY CHAPTER 4,37483.53
GLENGOYNE SINGLE MALT SCOTCH 50YR DECANTER,27654
CEDAR RIDGE RESERVE BOURBON PRIVATE CASK DNO,11520
CEDAR RIDGE MALTED RYE BARREL URBANDALE,9150
CEDAR RIDGE MALTED RYE BARREL MARION,9150
CEDAR RIDGE PORT CASK FINISH BARREL #2663,9000
CEDAR RIDGE PORT CASK FINISH BARREL #2561,9000
CEDAR RIDGE PORT CASK FINISH BARREL #2590,9000
CEDAR RIDGE PORT CASK FINISH BARREL #2666,9000
CEDAR RIDGE BARREL PROOF BOURBON - USE CODE 927367,8700
